,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CCCC(CCC)C(=O)O,10.479351851851852,-0.6354629629629625,10.479351851851852,0.10185185185185208,0.6423719745530849,144.214,128.08599999999998,144.115029752,60,0,0.30598677885955755,-0.4810264638850934,0.4810264638850934,0.30598677885955755,1.3,1.7,1.9,16.366455873707057,9.988437140019894,2.132729839120041,-2.072652649928111,2.1220933568175253,-2.1208131176447003,5.692965530989301,-0.14176047208696152,3.6095780526829477,93.43071362054202,7.983127663125442,6.7612392798996375,6.7612392798996375,4.718744015013407,3.947116220877545,3.947116220877545,2.612511362237168,2.612511362237168,1.6235145467500236,1.6235145467500236,1.0882115674274204,1.0882115674274204,-0.53,134.88790460158438,9.47,5.270170381876186,3.4868174048208713,62.24960168084558,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,26.689117645233267,12.841643245852019,0.0,5.917906046161393,9.901064578912528,5.969305287951849,0.0,0.0,5.917906046161393,39.53076089108528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,5.917906046161393,39.53076089108528,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,5.917906046161393,0.0,25.683286491704038,0.0,0.0,13.847474399381248,0.0,5.106527394840706,0.0,0.0,10.479351851851852,8.635462962962963,0.0,-0.7373148148148145,0.0,3.583611111111111,4.038888888888889,0.0,0.875,10,1,2,0,0,0,0,0,0,1,1,2,5,0,0,0,0,2.2874,40.9418,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)NC1=CC=C(C=C1)O,10.524468537414966,-0.11510204081632636,10.524468537414966,0.11510204081632636,0.5950261967780849,151.165,142.093,151.063328528,58,0,0.22074743631242583,-0.5079643157925783,0.5079643157925783,0.22074743631242583,1.3636363636363635,1.9090909090909092,2.3636363636363638,16.254688714379654,10.280190859964755,1.9280360590359853,-1.9945540738765883,2.125247579160178,-2.0440113126102912,5.880954784597921,-0.11373578338266069,2.7362980721056545,253.29949758389105,8.267584713501616,6.164862962722325,6.164862962722325,5.1815405503520555,3.2490981480278296,3.2490981480278296,2.228060242189872,2.228060242189872,1.1876733148984595,1.1876733148984595,0.7480265991539318,0.7480265991539318,-1.51,285.51074052739676,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,10.423315998847038,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,12.611123474374185,0.0,9.901064578912528,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,24.26546827384644,0.0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0.0,11.013707124192212,4.794537184071822,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,49.33,0.0,4.794537184071822,0.0,11.65669156263541,5.687386274683562,0.0,19.056471336613843,12.13273413692322,0.0,5.316788604006331,5.106527394840706,0.0,0.0,10.524468537414966,11.460032596371882,0.6900925925925929,0.07851095993953172,6.309537037037037,0.0,1.437358276643991,0.0,0.125,11,2,3,0,0,0,1,0,1,2,2,3,1,0,0,0,1,1.3505999999999998,42.41050000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,12.347538895187705,-1.056554474098666,12.347538895187705,0.060620503744948984,0.5530315284690744,365.4110000000001,346.25900000000007,365.104541708,134,0,0.32739938470277585,-0.5079666252286738,0.5079666252286738,0.32739938470277585,1.32,1.92,2.48,32.16690631043883,9.954360606780698,2.6376790204018374,-2.433848204110656,2.503089764564387,-2.7062875437263956,8.013148748605689,-0.16071019054569605,1.704346483706485,735.790664638169,18.516143379015546,13.670786371061961,14.487282951989688,11.630734840239551,7.709501693348965,8.589154504603858,6.653608280395852,8.42449341976841,4.507365693956289,6.07889628880377,3.221484744316876,4.846881333926202,-2.2600000000000002,291485.62989158236,17.55941929290163,5.921357991514545,2.827120047618735,147.9148923371173,26.163420601700402,29.248907133696527,0.0,11.814359458703011,0.0,5.969305287951849,9.589074368143644,4.794537184071822,0.0,11.761884949391115,12.13273413692322,31.54366002800146,4.747022453217559,0.0,24.596666341896878,29.545549696045974,0.0,10.216698334856808,5.733667477162185,42.093892153011424,0.0,29.828919765543436,0.0,5.749511833283905,11.050456081168516,0.0,5.749511833283905,11.761884949391115,55.101206191668965,14.383611552215466,0.0,25.452766720226204,24.26546827384644,0.0,0.0,0.0,132.95999999999998,46.03008250028504,24.596666341896878,0.0,5.749511833283905,5.563451491696996,0.0,40.92726295408803,13.847474399381248,0.0,5.316788604006331,5.733667477162185,-0.6481045711443438,1.3530174446832093,37.47009326651157,20.864004624308485,6.4092400741160676,-1.9379691177460063,3.205759785982548,0.0,3.533958493288469,0.0,0.4375,25,5,8,0,2,2,1,0,1,6,4,9,4,0,2,2,3,0.023699999999999555,90.69370000000004,1,0,0,0,0,0,0,1,1,1,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C,12.750755542957924,-1.0467366850321393,12.750755542957924,0.19517752162593482,0.7328552661597634,380.4220000000002,360.2620000000001,380.1042073599999,140,0,0.3273993847143226,-0.4957764406212778,0.4957764406212778,0.3273993847143226,1.2307692307692308,1.8076923076923077,2.3076923076923075,32.166906391250215,9.955873321065738,2.637864485450841,-2.4315551072150825,2.504351416883701,-2.7019829887311864,8.013151422236113,-0.15939591215214324,1.8308789420445404,758.2666469689102,19.223250160202095,14.80801854892085,15.624515129848577,12.223581197566729,7.97260589527799,8.852258706532883,6.586811785554748,8.357696924927309,4.616414467648598,6.187945062496076,3.4338096718859568,5.059206261495281,-2.42,514325.09153945924,18.373445084210505,6.385615033468622,2.6634432426654677,154.37280046131892,24.79695163729761,34.52002962952947,0.0,5.907179729351506,5.907179729351506,5.969305287951849,9.589074368143644,4.794537184071822,0.0,11.761884949391115,6.06636706846161,25.980208536304467,4.747022453217559,14.219595082555067,28.963864854656265,29.545549696045974,0.0,10.216698334856808,0.0,36.052051323863466,14.219595082555067,23.762552697081826,0.0,11.49902366656781,14.790514511606428,0.0,11.49902366656781,11.761884949391115,64.21427387938333,9.589074368143644,0.0,24.205463075150064,18.19910120538483,0.0,0.0,0.0,105.17,39.98824167113708,19.490138947056174,0.0,5.563451491696996,11.49902366656781,0.0,30.88138976279666,32.046575604766076,0.0,5.316788604006331,9.473725907600098,9.79126481761718,1.3700048815822623,38.11751595049304,11.726848027446874,0.19517752162593482,-1.297882255914812,3.238394265700361,0.0,3.5638626438229615,2.87814748095953,0.47058823529411764,26,2,8,0,2,2,1,0,1,6,2,9,5,0,2,2,3,0.9490999999999996,94.52800000000006,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,9.803083242722979,-0.48805503872065814,9.803083242722979,0.30909345985103553,0.6164391834948149,307.434,278.202,307.214743788,124,0,0.11895622189076537,-0.4908491126928612,0.4908491126928612,0.11895622189076537,1.2272727272727273,1.9545454545454546,2.590909090909091,16.489763903601858,10.145283778764671,2.2032808087639233,-2.147692313331236,2.2827606943729477,-2.3467241765249187,5.269300961773094,0.1044220407113497,1.6027670262068194,414.8453745013075,15.7862462825598,13.754909529060901,13.754909529060901,10.631030293135234,8.341439550289378,8.341439550289378,6.440017750036085,6.440017750036085,3.7130142704943285,3.7130142704943285,2.0999673311112255,2.0999673311112255,-1.1,159417.61022948244,17.256956693980523,9.132049947970861,7.25057051519977,133.37606373354487,19.897041906447136,18.460360185545124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.980208536304467,42.876556543559644,19.193479199573453,6.606881964512918,14.580253302440804,0.0,0.0,5.316788604006331,5.917906046161393,45.25574648505555,26.36540229945133,29.828919765543436,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,43.617736911188295,11.157684576726059,5.917906046161393,32.25256913693026,24.26546827384644,0.0,0.0,0.0,50.72,6.103966387748303,5.106527394840706,0.0,0.0,19.193479199573453,31.302003431397146,18.405094737549014,0.0,12.13273413692322,31.296997140310797,9.473725907600098,11.2447796423554,0.0,0.0,12.990788475357519,1.254786901126638,1.6237358997308424,8.413785550193154,3.1261158509663396,6.679341013603442,0.0,0.6666666666666666,22,2,4,1,0,1,1,0,1,4,2,4,11,1,0,1,2,2.393400000000001,88.32950000000005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C1=NC2=C(N1COCCO)N=C(NC2=O)N,11.410637676366843,-0.38573315591668744,11.410637676366843,0.029081658898127527,0.554385971786765,225.208,214.11999999999998,225.086189212,86,0,0.2799857321708006,-0.39397867396015385,0.39397867396015385,0.2799857321708006,1.625,2.4375,3.1875,16.49462404470061,10.525512391421453,2.0801932360312523,-2.0322758603435624,2.05442408609144,-2.1264437079684124,5.697929525423926,0.04988171746382198,2.3607877514506095,546.0876253223264,11.54360559544051,8.381371844866454,8.381371844866454,7.719545352812841,4.6134300515442845,4.6134300515442845,3.098693096168839,3.098693096168839,1.9591029223873329,1.9591029223873329,1.2927101546233108,1.2927101546233108,-1.9300000000000002,5884.2277512654,10.5832429991603,4.289049481140565,1.8772308667996151,89.69516162363053,15.577057825802939,6.730816747499484,11.16387793838399,5.948339280986494,5.559266895052008,0.0,14.345615352810384,4.9839785209472085,4.9839785209472085,0.0,0.0,0.0,0.0,19.541084003790377,9.843390348640755,17.112217219370486,0.0,19.51903521063298,0.0,6.730816747499484,18.94743140618802,16.68112415388837,0.0,0.0,11.292934372214193,5.948339280986494,0.0,0.0,37.83932653449953,11.467679701299534,0.0,0.0,11.121857258836364,0.0,11.16387793838399,0.0,119.05,0.0,4.794537184071822,0.0,36.96888757018009,5.647177220767728,0.0,10.894419722555895,0.0,0.0,14.951935562841626,15.577057825802939,6.633219954648526,0.0,21.61090616339128,8.555883356428993,5.603646017048796,0.029081658898127527,0.0,1.4342469765684052,0.29968253968254,0.0,0.375,16,4,8,0,0,0,0,2,2,7,3,8,4,0,0,0,2,-1.3317999999999997,55.5989,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,12.578430739026395,-1.75583065514686,12.578430739026395,0.01008105398638448,0.11306379404457513,585.6080000000003,542.2640000000004,585.2857364359998,234,0,0.2486996634216958,-0.3935672815103641,0.3935672815103641,0.2486996634216958,0.85,1.45,2.05,16.724194829772866,9.830739594549028,2.5220861998262136,-2.485151348787335,2.316643212197592,-2.692610516854949,5.803959385179946,-0.33223802984264467,1.8479037285363422,815.0542713752033,29.886022388089113,21.701489506044233,21.701489506044233,18.851880725747186,13.065117191746365,13.065117191746365,10.334214773693901,10.334214773693901,7.508939993021063,7.508939993021063,5.067082308128233,5.067082308128233,-1.1700000000000006,351840389.6434164,33.33353043559944,14.335134540622352,7.061065381476209,229.26453997686886,88.05112948658092,67.14363026523132,12.580053458670426,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,19.386399651764595,12.586597235060536,18.69056362280884,64.59420815799766,5.907179729351506,0.0,5.316788604006331,22.93466990864874,110.69084945719763,19.696394776338067,0.0,0.0,0.0,28.251458512655073,0.0,0.0,0.0,164.30499987576084,23.741988999272017,0.0,12.841643245852019,0.0,0.0,0.0,0.0,331.94,110.36326790521005,45.64675634279746,0.0,25.93115605767717,0.0,0.0,0.0,0.0,0.0,5.316788604006331,41.88212172384894,22.508987749652608,0.0,12.578430739026395,84.8515698880727,23.078158143231576,-0.8451654705857441,-3.4543834318598456,-19.819150484244453,-0.8984471332932253,0.0,0.9545454545454546,40,17,18,1,2,3,0,0,0,17,13,18,10,1,2,3,3,-8.424200000000015,131.42570000000006,0,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,11.672037037037036,-0.35999999999999965,11.672037037037036,0.3165740740740737,0.5384628262372215,194.194,184.11399999999998,194.08037556,74,0,0.3317034326359889,-0.3278634660994821,0.3317034326359889,0.3278634660994821,1.1428571428571428,1.7857142857142858,2.4285714285714284,16.161282315860745,10.488187986922146,2.110255216429426,-2.0215174970665943,2.0118198978856996,-2.369665405920739,5.691604588780554,0.7054356050886177,3.2212810810845887,616.5285919942219,10.455665446700477,8.182701232117184,8.182701232117184,6.5365812602091875,4.107927642957933,4.107927642957933,3.233448965575619,3.233448965575619,2.3165128954882377,2.3165128954882377,1.471179885323762,1.471179885323762,-1.85,1876.0901711869099,8.73523326923911,2.5679479011227926,0.8757741627139433,79.02895701814933,4.567099647791355,0.0,11.16387793838399,0.0,5.559266895052007,5.689743398203474,13.928736479654532,9.77851570501903,0.0,0.0,0.0,0.0,21.143015948031568,6.3273200747645415,0.0,11.16387793838399,0.0,18.685277464321274,21.143015948031568,0.0,0.0,27.165404736163666,0.0,0.0,11.24901029325548,0.0,0.0,0.0,18.685277464321274,21.143015948031568,0.0,0.0,15.916394442908185,0.0,11.16387793838399,0.0,61.82,0.0,9.589074368143644,0.0,11.24901029325548,11.16387793838399,4.567099647791355,17.942091705233086,18.662443613145733,0.0,4.9839785209472085,0.0,4.039537037037037,0.0,27.154448223733937,0.0,0.1800925925925938,0.0,0.0,1.5193518518518518,0.0,4.773236961451246,0.375,14,0,6,0,0,0,0,2,2,6,0,6,0,0,0,0,2,-1.0293,51.19600000000001,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1C2=C(C(=O)N(C1=O)C)NC=N2,11.440787037037037,-0.3707407407407406,11.440787037037037,0.3512962962962958,0.5624722357827984,180.167,172.10299999999998,180.064725496,68,0,0.3317032473983393,-0.33872132070702005,0.33872132070702005,0.3317032473983393,1.3076923076923077,2.0,2.6923076923076925,16.16118364541041,10.505095712585248,2.0835139793646817,-2.003356218119512,1.968009845841247,-2.364665591916405,5.680268983790731,0.7085278733202691,3.21185381303522,574.1705593822572,9.585421958697399,7.2354876366172265,7.2354876366172265,6.125897657686229,3.7175834945556483,3.7175834945556483,2.8069039937879805,2.8069039937879805,2.029396145521518,2.029396145521518,1.2689232855293,1.2689232855293,-1.8499999999999999,1349.0443514632882,7.781340073498282,2.317238170551303,0.8507940839640471,72.4540434171574,4.9839785209472085,5.516700717616262,5.647177220767728,0.0,5.559266895052007,5.689743398203474,13.928736479654532,9.77851570501903,0.0,0.0,0.0,0.0,14.09534396535438,6.3273200747645415,0.0,11.16387793838399,0.0,19.102156337477126,14.09534396535438,0.0,0.0,27.165404736163666,0.0,0.0,11.24901029325548,0.0,0.0,0.0,19.102156337477126,14.09534396535438,0.0,0.0,15.916394442908185,0.0,11.16387793838399,0.0,72.68,0.0,9.589074368143644,0.0,11.24901029325548,11.16387793838399,4.567099647791355,17.942091705233086,7.04767198267719,0.0,9.967957041894417,0.0,2.368796296296296,0.0,29.381759259259262,0.0,0.011944444444445645,0.0,0.0,1.3943518518518518,0.0,3.0098148148148147,0.2857142857142857,13,1,6,0,0,0,0,2,2,5,1,6,0,0,0,0,2,-1.0397000000000005,46.575700000000005,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,12.334172965482491,-1.033228263272455,12.334172965482491,0.37451541110271314,0.674878289478739,349.4120000000001,330.26000000000005,349.109627088,128,0,0.32739938470277585,-0.4796728023655437,0.4796728023655437,0.32739938470277585,1.3333333333333333,1.9583333333333333,2.5416666666666665,32.16690622522437,9.954473240678944,2.6376308735264726,-2.4338409232394884,2.5029528711176527,-2.7062871009244183,8.01314783689116,-0.16071005957047624,1.7112933155712988,693.8227554205864,17.64589989101247,13.30092304475163,14.117419625679355,11.236887990122199,7.575211293076026,8.45486410433092,6.472759659838315,8.243644799210877,4.413850051011858,5.985380645859341,3.200201818159807,4.825598407769133,-2.0599999999999996,206112.98596074485,16.785786144559395,5.784053910830547,2.5522148388756962,143.1206585849213,21.056893206859698,23.499395300412623,0.0,11.814359458703011,0.0,5.969305287951849,9.589074368143644,4.794537184071822,0.0,11.761884949391115,30.33183534230805,19.410925891078243,4.747022453217559,0.0,19.490138947056174,29.545549696045974,0.0,10.216698334856808,5.733667477162185,42.093892153011424,0.0,35.89528683400505,0.0,0.0,11.050456081168516,0.0,0.0,11.761884949391115,49.99467879682826,14.383611552215466,0.0,25.452766720226204,30.33183534230805,0.0,0.0,0.0,112.73,34.749029957964794,19.490138947056174,0.0,11.281052542320246,5.563451491696996,0.0,16.66179468024159,38.112942673227685,6.06636706846161,5.316788604006331,5.733667477162185,-0.6178732809698717,1.384119373057865,37.458717839782125,11.668857470784292,6.59329714138742,-1.8568691887784594,6.376417836304615,0.0,3.5766661417653483,0.0,0.4375,24,4,7,0,2,2,1,0,1,5,3,8,4,0,2,2,3,0.3180999999999994,89.02890000000005,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
